  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   0    7   40      96.04        -      28.70     247
   0    7   41     320.03        -      31.73     255
   0    7   42       5.60        -      22.85     249
   0    7   43     382.81        -      41.12     252
   0    7   44      32.82        -      17.41     242
   0    7   45     190.14        -      27.63     277
   0    7   46      12.27        -      12.80     230
   0    7   47      34.70        -      13.21     231
   0    7   48      -8.45        -      12.96     175
   0    7   49       4.66        -       9.89     221
   0    7   50      -4.69        -      11.38     168
   0    7   51      12.57        -      10.85     115
   0    7   52      98.07        -      22.82     104
   0    7   53       0.48        -      11.58      65
   0    7   54      -2.04        -       8.40      48
   0    7   55       5.64        -       8.67      39
   0    7   56       7.44        -      15.44      24
   0    7   57       5.55        -       9.65      13
   0    7   58     -14.63        -       8.54       7
   0    7   59      -7.20        -       5.35       8
   0    7   60       0.08        -       4.53       9
   0    8    0  321006.99        -   25452.76     723
   0    8    1    1833.41        -     240.20    1396
   0    8    2   29119.11        -    2142.56    1343
   0    8    3   47725.80        -    3587.97    1249
   0    8    4   12136.83        -     916.48    1228
   0    8    5    1011.03        -     331.36    1077
   0    8    6   93235.93        -    6438.59    1092
   0    8    7    6608.66        -     682.31     981
   0    8    8   41650.42        -    2937.68     917
   0    8    9   61531.59        -    4022.02     883
   0    8   10    6890.49        -     624.40     722
   0    8   11   36870.46        -    2854.45     731
   0    8   12      64.36        -     172.83     599
   0    8   13     772.64        -     144.66     601
   0    8   14   17025.99        -    1444.68     561
   0    8   15    2967.00        -     280.30     540
   0    8   16     115.39        -     140.59     494
   0    8   17     255.74        -     177.17     519
   0    8   18    2517.47        -     244.41     499
   0    8   19   27102.83        -    1976.34     479
   0    8   20   11508.81        -     775.86     439
   0    8   21    4239.02        -     321.89     458
   0    8   22    6003.15        -     427.93     427
   0    8   23    1126.70        -     312.03     419
   0    8   24     778.35        -     156.84     407
   0    8   25    1995.48        -     185.84     374
   0    8   26    6073.76        -     362.80     392
   0    8   27     265.13        -     109.98     373
   0    8   28    5078.51        -     346.41     368
   0    8   29    2990.39        -     198.85     366
   0    8   30    1360.93        -     123.36     384
   0    8   31    5207.18        -     300.42     349
   0    8   32    1995.18        -     185.14     300
   0    8   33    5320.65        -     334.52     303
   0    8   34    1072.96        -     125.33     308
   0    8   35    2559.90        -     192.00     281
   0    8   36     323.93        -      59.97     284
   0    8   37     682.45        -      57.37     279
   0    8   38     138.38        -      35.65     260
   0    8   39      20.58        -      29.10     290
   0    8   40    2127.60        -     146.61     284
   0    8   41    1477.73        -     113.05     271
   0    8   42      11.32        -      22.33     262
   0    8   43     439.41        -      42.34     245
   0    8   44     522.00        -      56.45     222
   0    8   45     104.15        -      19.00     231
   0    8   46    1108.81        -     104.89     231
   0    8   47      63.29        -      18.87     190
   0    8   48       7.51        -      12.20     211
   0    8   49       4.29        -       9.91     209
   0    8   50       9.53        -       9.18     164
   0    8   51      76.22        -      16.65     137
   0    8   52      -7.39        -      11.24      97
   0    8   53      31.69        -      14.71      54
   0    8   54      28.84        -      13.50      43
   0    8   55       4.40        -       9.91      33
   0    8   56     -11.87        -       7.97      30
   0    8   57       7.02        -      14.03      14
   0    8   58       2.80        -      11.88      10
   0    8   59      -8.21        -       6.77       7
   0    8   60      -2.24        -       8.97       2
   0    9    0    -400.59        -     326.41     615
   0    9    1    5307.77        -     379.44    1341
   0    9    2     584.82        -     216.80    1170
   0    9    3   23633.20        -    1945.60    1132
   0    9    4  268430.32        -   16617.12    1201
   0    9    5  123036.38        -    8916.17    1075
   0    9    6  188487.92        -   12486.93    1062
   0    9    7  109964.97        -    7602.75     960
   0    9    8  114471.48        -    8082.05     944
   0    9    9   21463.17        -    1685.04     744
   0    9   10    4122.37        -     688.84     697
   0    9   11   13439.92        -    1146.52     668
   0    9   12   57795.30        -    4545.68     634
   0    9   13   15549.46        -    1118.31     596
   0    9   14    5651.27        -     621.29     578
   0    9   15    1196.68        -     167.40     522
   0    9   16   30515.52        -    1988.89     526
   0    9   17    7585.69        -     645.23     503
   0    9   18   30707.62        -    2985.40     498
   0    9   19    1007.44        -     148.60     489
   0    9   20       8.82        -     165.55     448
   0    9   21     228.99        -     166.36     462
   0    9   22    2375.25        -     226.55     460
   0    9   23    3659.48        -     279.27     441
   0    9   24    5191.40        -     316.98     399
   0    9   25    8886.40        -     530.11     386
   0    9   26    3433.78        -     254.11     353
   0    9   27    6040.67        -     380.47     379
   0    9   28     137.78        -     114.09     344
   0    9   29     161.04        -      81.85     328
   0    9   30     362.14        -      72.63     348
   0    9   31    1051.70        -     107.90     299
   0    9   32     107.72        -      70.88     320
   0    9   33    3317.83        -     196.15     314
   0    9   34     104.58        -      45.79     301
   0    9   35    3025.94        -     216.54     309
   0    9   36    7280.02        -     422.96     316
   0    9   37     788.50        -      64.17     307
   0    9   38     815.78        -      59.82     266
   0    9   39     -26.14        -      30.23     263
   0    9   40    1479.39        -      94.99     273
   0    9   41     389.46        -      39.86     243
   0    9   42     636.09        -      56.51     245
   0    9   43     153.25        -      29.69     234
   0    9   44     145.56        -      24.06     230
   0    9   45     602.57        -      69.05     230
   0    9   46       5.95        -      15.11     211
   0    9   47      -0.86        -      11.81     204
   0    9   48      99.50        -      20.46     182
   0    9   49      30.41        -      11.83     199
   0    9   50       6.55        -      11.32     151
   0    9   51      -4.87        -      11.26     112
   0    9   52      -7.04        -       8.64      94
   0    9   53       2.24        -       9.14      68
   0    9   54      11.66        -      11.86      43
   0    9   55       0.12        -      12.31      28
   0    9   56     -20.59        -      11.01      20
   0    9   57      -4.39        -      17.09       8
   0    9   58       1.90        -      19.26       6
   0    9   59     -15.43        -       7.45       4
   0    9   60       4.70        -       6.21       4
   0   10    0  289589.26        -   23212.01     633
   0   10    1    8626.68        -     570.79    1155
   0   10    2   18471.56        -    1688.00    1051
   0   10    3    6058.09        -     470.87    1029
   0   10    4    3516.20        -     297.57     982
   0   10    5     763.30        -     220.81     959
   0   10    6    5738.15        -     538.58     944
   0   10    7     214.99        -     175.37     853
   0   10    8    4410.57        -     403.66     770
   0   10    9    8600.64        -     668.17     754
   0   10   10   86173.74        -    6535.27     675
   0   10   11     860.80        -     284.91     632
   0   10   12    7375.22        -     626.10     589
   0   10   13    4877.71        -     397.14     562
   0   10   14    1473.65        -     185.07     538
   0   10   15   12666.78        -     848.17     538
   0   10   16   12717.79        -     883.49     541
   0   10   17     933.89        -     151.63     524
   0   10   18    4300.35        -     337.08     525
   0   10   19    2839.59        -     244.43     452
   0   10   20    1187.86        -     171.20     460
   0   10   21   20496.74        -    1155.81     484
   0   10   22      81.58        -     138.14     473
   0   10   23   15261.51        -     956.19     412
   0   10   24    9435.36        -     633.45     397
   0   10   25   13863.92        -     934.16     412
   0   10   26    3935.67        -     263.28     370
   0   10   27   11291.26        -     610.75     360
   0   10   28    4082.70        -     227.68     383
   0   10   29    5657.96        -     335.73     346
   0   10   30    5655.05        -     316.93     348
   0   10   31    6732.47        -     490.71     334
   0   10   32     325.59        -      64.12     311
   0   10   33    5742.15        -     348.79     316
   0   10   34      14.67        -      44.66     306
   0   10   35     618.58        -      60.62     293
   0   10   36     180.36        -      35.28     304
   0   10   37    5424.81        -     395.89     316
   0   10   38     193.16        -      35.05     278
   0   10   39    2228.74        -     144.20     304
   0   10   40     733.49        -      65.76     265
   0   10   41      60.66        -      21.52     268
   0   10   42     424.84        -      38.95     264
   0   10   43      -3.26        -      19.14     237
   0   10   44      18.40        -      17.09     245
   0   10   45     181.50        -      24.38     243
   0   10   46      62.34        -      17.41     196
   0   10   47      36.31        -      13.15     212
   0   10   48     -14.90        -      10.64     198
   0   10   49      89.70        -      16.61     199
   0   10   50      70.72        -      16.63     147
   0   10   51      40.44        -      15.34     108
   0   10   52       9.98        -       7.81      85
   0   10   53      -1.00        -       7.80      82
   0   10   54       9.74        -      12.34      37
   0   10   55      -2.42        -      10.33      28
   0   10   56      26.48        -      12.65      19
   0   10   57       0.09        -      12.75      15
   0   10   58      19.93        -      13.96       5
   0   10   60       2.60        -       4.27       4
   0   11    0      55.37        -     507.63     537
   0   11    1  126012.21        -    8168.40    1086
   0   11    2   12356.83        -     952.59    1039
   0   11    3   37965.87        -    3093.40    1015
   0   11    4    2268.11        -     203.51    1011
   0   11    5   21779.28        -    1793.58    1004
   0   11    6    4467.47        -     355.97     795
   0   11    7   47995.83        -    3859.37     810
   0   11    8   19401.06        -    1573.54     769
   0   11    9  133019.87        -    9444.94     711
   0   11   10   89657.15        -    6332.14     675
   0   11   11    1464.92        -     185.12     639
   0   11   12    4515.23        -     559.84     599
   0   11   13     494.31        -     158.49     536
   0   11   14   20005.22        -    1361.41     533
   0   11   15    9075.50        -     623.89     516
   0   11   16    1024.33        -     226.60     481
   0   11   17      87.36        -     135.15     494
   0   11   18    1365.78        -     183.48     464
   0   11   19     786.44        -     169.51     422
   0   11   20    3756.00        -     360.72     470
   0   11   21     776.62        -     182.49     470
   0   11   22    6717.18        -     413.51     485
   0   11   23    1260.56        -     187.46     429
   0   11   24   13769.30        -     940.62     390
   0   11   25     109.54        -     125.74     394
   0   11   26    2253.01        -     193.81     367
